CHR	SNP	P.value	Coordinate	GeneSymbol	Gene	Location	LocationRelativeToGene	Coding_Status	AminoAcidChange	BONF	HOLM	BH	HOMMEL	FDR	CON_ADJ
7	rs6466925	0.9279	123675483	GPR37	NM_005302	flanking_3UTR	-304583	-1	-1	1	1	0.995494240837696	0.9992	0.995494240837696	0.998037696335079
12	rs803559	0.9287	107258619	CMKLR1	NM_004072	flanking_5UTR	-23067	-1	-1	1	1	0.995494240837696	0.9992	0.995494240837696	0.998037696335079
1	rs4950833	0.9299	198891579	LGR6	NM_001017403	flanking_5UTR	-3195	-1	-1	1	1	0.995494240837696	0.9992	0.995494240837696	0.998037696335079
7	rs10954043	0.937	123916360	GPR37	NM_005302	flanking_3UTR	-63706	-1	-1	1	1	0.995494240837696	0.9992	0.995494240837696	0.998037696335079
8	rs7018249	0.9421	27428106	EPHX2	NM_001979	intron	-1045	-1	-1	1	1	0.995494240837696	0.9992	0.995494240837696	0.998037696335079
7	rs12669312	0.943	123931880	GPR37	NM_005302	flanking_3UTR	-48186	-1	-1	1	1	0.995494240837696	0.9992	0.995494240837696	0.998037696335079
13	rs7989251	0.9554	48120179	CYSLTR2	NM_020377	flanking_5UTR	-58772	-1	-1	1	1	0.995494240837696	0.9992	0.995494240837696	0.998037696335079
1	rs12038031	0.9556	183312662	PTGS2	NM_000963	flanking_3UTR	-59963	-1	-1	1	1	0.995494240837696	0.9992	0.995494240837696	0.998037696335079
12	rs3782518	0.958	107191477	CMKLR1	NM_004072	intron	-2275	-1	-1	1	1	0.995494240837696	0.9992	0.995494240837696	0.998037696335079
10	rs2291427	0.9706	45256230	ALOX5	NM_000698	intron	-144	-1	-1	1	1	0.995494240837696	0.9992	0.995494240837696	0.998037696335079
7	rs996062	0.9753	0	GPR37	NM_005302	flanking_3UTR	-18536	-1	-1	1	1	0.995494240837696	0.9992	0.995494240837696	0.998037696335079
13	rs7992081	0.9758	48204755	CYSLTR2	NM_020377	flanking_3UTR	-23257	-1	-1	1	1	0.995494240837696	0.9992	0.995494240837696	0.998037696335079
1	rs2206593	0.9783	183374086	PTGS2	NM_000963	3UTR	[1461/1054]	-1	-1	1	1	0.995494240837696	0.9992	0.995494240837696	0.998037696335079
13	rs1980839	0.9801	48108803	CYSLTR2	NM_020377	flanking_5UTR	-70148	-1	-1	1	1	0.995494240837696	0.9992	0.995494240837696	0.998037696335079
8	rs6558002	0.9884	27445459	EPHX2	NM_001979	intron	-4758	-1	-1	1	1	0.996838341968912	0.9992	0.996838341968912	0.998575336787565
12	rs1399825	0.9917	107308599	CMKLR1	NM_004072	flanking_5UTR	-73047	-1	-1	1	1	0.996838341968912	0.9992	0.996838341968912	0.998575336787565
1	rs12129763	0.9992	198915688	LGR6	NM_001017404	flanking_3UTR	-667	-1	-1	1	1	0.9992	0.9992	0.9992	0.99952
