gene	Chromosome	Probe.Set.ID	Affy.SNP.ID	dbSNP.RS.ID	Physical.Position	Position.End	Strand	Number.of.individuals	OMIM	Associated.Gene																			
ALOX15B	17	AX-83454086	Affx-52302829	rs150387943	7942853	7942853	+	170 // CEU /// 194 // CHB /// 178 // JPT /// 176 // YRI	---	"ENST00000380173 // synon // 0 // Hs.111256 // ALOX15B // 247 // arachidonate 15-lipoxygenase, type B /// ENST00000380183 // synon // 0 // Hs.111256 // ALOX15B // 247 // arachidonate 15-lipoxygenase, type B /// ENST00000571240 // exon // 0 // Hs.111256 // ALOX15B // 247 // arachidonate 15-lipoxygenase, type B /// ENST00000572022 // synon // 0 // Hs.111256 // ALOX15B // 247 // arachidonate 15-lipoxygenase, type B /// ENST00000573359 // synon // 0 // Hs.111256 // ALOX15B // 247 // arachidonate 15-lipoxygenase, type B /// NM_001039130 // synon // 0 // Hs.111256 // ALOX15B // 247 // arachidonate 15-lipoxygenase, type B /// NM_001039131 // synon // 0 // Hs.111256 // ALOX15B // 247 // arachidonate 15-lipoxygenase, type B /// NM_001141 // synon // 0 // Hs.111256 // ALOX15B // 247 // arachidonate 15-lipoxygenase, type B"																			
ALOX15B	17	AX-83545174	Affx-52194600	rs200104058	7951818	7951818	+	170 // CEU /// 194 // CHB /// 178 // JPT /// 176 // YRI	---	"ENST00000380173 // nonsense // 0 // Hs.111256 // ALOX15B // 247 // arachidonate 15-lipoxygenase, type B /// ENST00000380183 // nonsense // 0 // Hs.111256 // ALOX15B // 247 // arachidonate 15-lipoxygenase, type B /// ENST00000571240 // exon // 0 // Hs.111256 // ALOX15B // 247 // arachidonate 15-lipoxygenase, type B /// ENST00000572022 // nonsense // 0 // Hs.111256 // ALOX15B // 247 // arachidonate 15-lipoxygenase, type B /// ENST00000573359 // nonsense // 0 // Hs.111256 // ALOX15B // 247 // arachidonate 15-lipoxygenase, type B /// NM_001039130 // nonsense // 0 // Hs.111256 // ALOX15B // 247 // arachidonate 15-lipoxygenase, type B /// NM_001039131 // nonsense // 0 // Hs.111256 // ALOX15B // 247 // arachidonate 15-lipoxygenase, type B /// NM_001141 // nonsense // 0 // Hs.111256 // ALOX15B // 247 // arachidonate 15-lipoxygenase, type B"																			
ALOX15B	17	AX-83575412	Affx-52194596	rs199941734	7950643	7950643	+	94 // CEU /// 48 // CHB /// 165 // JPT /// 95 // YRI	---	"ENST00000380173 // nonsense // 0 // Hs.111256 // ALOX15B // 247 // arachidonate 15-lipoxygenase, type B /// ENST00000380183 // nonsense // 0 // Hs.111256 // ALOX15B // 247 // arachidonate 15-lipoxygenase, type B /// ENST00000571240 // exon // 0 // Hs.111256 // ALOX15B // 247 // arachidonate 15-lipoxygenase, type B /// ENST00000572022 // nonsense // 0 // Hs.111256 // ALOX15B // 247 // arachidonate 15-lipoxygenase, type B /// ENST00000573359 // intron // 0 // Hs.111256 // ALOX15B // 247 // arachidonate 15-lipoxygenase, type B /// NM_001039130 // nonsense // 0 // Hs.111256 // ALOX15B // 247 // arachidonate 15-lipoxygenase, type B /// NM_001039131 // intron // 0 // Hs.111256 // ALOX15B // 247 // arachidonate 15-lipoxygenase, type B /// NM_001141 // nonsense // 0 // Hs.111256 // ALOX15B // 247 // arachidonate 15-lipoxygenase, type B"																			
ALOX15	17	AX-83587247	Affx-52189046	rs146693201	4536159	4536159	+	94 // CEU /// 48 // CHB /// 166 // JPT /// 95 // YRI	---	ENST00000293761 // nonsense // 0 // Hs.73809 // ALOX15 // 246 // arachidonate 15-lipoxygenase /// ENST00000545513 // nonsense // 0 // Hs.73809 // ALOX15 // 246 // arachidonate 15-lipoxygenase /// ENST00000570836 // nonsense // 0 // Hs.73809 // ALOX15 // 246 // arachidonate 15-lipoxygenase /// ENST00000574640 // nonsense // 0 // Hs.73809 // ALOX15 // 246 // arachidonate 15-lipoxygenase /// NM_001140 // nonsense // 0 // Hs.73809 // ALOX15 // 246 // arachidonate 15-lipoxygenase																			
ALOX15	17	AX-83595456	Affx-13973979	rs34210653	4535314	4535314	+	170 // CEU /// 194 // CHB /// 178 // JPT /// 176 // YRI	---	ENST00000293761 // missense // 0 // Hs.73809 // ALOX15 // 246 // arachidonate 15-lipoxygenase /// ENST00000545513 // missense // 0 // Hs.73809 // ALOX15 // 246 // arachidonate 15-lipoxygenase /// ENST00000570836 // missense // 0 // Hs.73809 // ALOX15 // 246 // arachidonate 15-lipoxygenase /// ENST00000574640 // missense // 0 // Hs.73809 // ALOX15 // 246 // arachidonate 15-lipoxygenase /// NM_001140 // missense // 0 // Hs.73809 // ALOX15 // 246 // arachidonate 15-lipoxygenase																			
ALOX15	17	AX-86583691	Affx-80285249	---	4542746	4542746	+	---	---	ENST00000293761 // frameshift // 0 // Hs.73809 // ALOX15 // 246 // arachidonate 15-lipoxygenase /// ENST00000545513 // frameshift // 0 // Hs.73809 // ALOX15 // 246 // arachidonate 15-lipoxygenase /// ENST00000570836 // frameshift // 0 // Hs.73809 // ALOX15 // 246 // arachidonate 15-lipoxygenase /// ENST00000572265 // UTR-5 // 0 // Hs.73809 // ALOX15 // 246 // arachidonate 15-lipoxygenase /// ENST00000573740 // exon // 0 // Hs.73809 // ALOX15 // 246 // arachidonate 15-lipoxygenase /// ENST00000574640 // frameshift // 0 // Hs.73809 // ALOX15 // 246 // arachidonate 15-lipoxygenase /// ENST00000576394 // frameshift // 0 // Hs.73809 // ALOX15 // 246 // arachidonate 15-lipoxygenase /// NM_001140 // frameshift // 0 // Hs.73809 // ALOX15 // 246 // arachidonate 15-lipoxygenase																			
ALOX15B	17	AX-86645945	Affx-80285406	---	7950031	7950038	+	---	---	"ENST00000380173 // intron // 0 // Hs.111256 // ALOX15B // 247 // arachidonate 15-lipoxygenase, type B /// ENST00000380183 // frameshift // 0 // Hs.111256 // ALOX15B // 247 // arachidonate 15-lipoxygenase, type B /// ENST00000571240 // exon // 0 // Hs.111256 // ALOX15B // 247 // arachidonate 15-lipoxygenase, type B /// ENST00000572022 // frameshift // 0 // Hs.111256 // ALOX15B // 247 // arachidonate 15-lipoxygenase, type B /// ENST00000573359 // intron // 0 // Hs.111256 // ALOX15B // 247 // arachidonate 15-lipoxygenase, type B /// NM_001039130 // intron // 0 // Hs.111256 // ALOX15B // 247 // arachidonate 15-lipoxygenase, type B /// NM_001039131 // intron // 0 // Hs.111256 // ALOX15B // 247 // arachidonate 15-lipoxygenase, type B /// NM_001141 // frameshift // 0 // Hs.111256 // ALOX15B // 247 // arachidonate 15-lipoxygenase, type B"																			
ALOX15B	17	AX-86658125	Affx-52194593	rs139880289	7950324	7950324	+	---	---	"ENST00000380173 // nonsense // 0 // Hs.111256 // ALOX15B // 247 // arachidonate 15-lipoxygenase, type B /// ENST00000380183 // nonsense // 0 // Hs.111256 // ALOX15B // 247 // arachidonate 15-lipoxygenase, type B /// ENST00000571240 // exon // 0 // Hs.111256 // ALOX15B // 247 // arachidonate 15-lipoxygenase, type B /// ENST00000572022 // nonsense // 0 // Hs.111256 // ALOX15B // 247 // arachidonate 15-lipoxygenase, type B /// ENST00000573359 // nonsense // 0 // Hs.111256 // ALOX15B // 247 // arachidonate 15-lipoxygenase, type B /// NM_001039130 // nonsense // 0 // Hs.111256 // ALOX15B // 247 // arachidonate 15-lipoxygenase, type B /// NM_001039131 // nonsense // 0 // Hs.111256 // ALOX15B // 247 // arachidonate 15-lipoxygenase, type B /// NM_001141 // nonsense // 0 // Hs.111256 // ALOX15B // 247 // arachidonate 15-lipoxygenase, type B"																			
ALOX15B	17	AX-94361170	Affx-92045519	---	7950292	7950292	+	---	---	"ENST00000380173 // missense // 0 // Hs.111256 // ALOX15B // 247 // arachidonate 15-lipoxygenase, type B /// ENST00000380183 // missense // 0 // Hs.111256 // ALOX15B // 247 // arachidonate 15-lipoxygenase, type B /// ENST00000571240 // exon // 0 // Hs.111256 // ALOX15B // 247 // arachidonate 15-lipoxygenase, type B /// ENST00000572022 // missense // 0 // Hs.111256 // ALOX15B // 247 // arachidonate 15-lipoxygenase, type B /// ENST00000573359 // missense // 0 // Hs.111256 // ALOX15B // 247 // arachidonate 15-lipoxygenase, type B /// NM_001039130 // missense // 0 // Hs.111256 // ALOX15B // 247 // arachidonate 15-lipoxygenase, type B /// NM_001039131 // missense // 0 // Hs.111256 // ALOX15B // 247 // arachidonate 15-lipoxygenase, type B /// NM_001141 // missense // 0 // Hs.111256 // ALOX15B // 247 // arachidonate 15-lipoxygenase, type B"																			
ALOX15B	17	AX-94377920	Affx-92045519	---	7950292	7950292	+	---	---	"ENST00000380173 // missense // 0 // Hs.111256 // ALOX15B // 247 // arachidonate 15-lipoxygenase, type B /// ENST00000380183 // missense // 0 // Hs.111256 // ALOX15B // 247 // arachidonate 15-lipoxygenase, type B /// ENST00000571240 // exon // 0 // Hs.111256 // ALOX15B // 247 // arachidonate 15-lipoxygenase, type B /// ENST00000572022 // missense // 0 // Hs.111256 // ALOX15B // 247 // arachidonate 15-lipoxygenase, type B /// ENST00000573359 // missense // 0 // Hs.111256 // ALOX15B // 247 // arachidonate 15-lipoxygenase, type B /// NM_001039130 // missense // 0 // Hs.111256 // ALOX15B // 247 // arachidonate 15-lipoxygenase, type B /// NM_001039131 // missense // 0 // Hs.111256 // ALOX15B // 247 // arachidonate 15-lipoxygenase, type B /// NM_001141 // missense // 0 // Hs.111256 // ALOX15B // 247 // arachidonate 15-lipoxygenase, type B"																			
ALOX12	17	AX-11154571	Affx-14284386	rs1126667	6902760	6902760	+	170 // CEU /// 194 // CHB /// 178 // JPT /// 176 // YRI	---	ENST00000251535 // missense // 0 // Hs.654431 // ALOX12 // 239 // arachidonate 12-lipoxygenase /// ENST00000399541 // intron // 0 // Hs.422967 // LOC100506713 // 100506713 // Uncharacterized LOC100506713 /// ENST00000480801 // cds // 0 // Hs.654431 // ALOX12 // 239 // arachidonate 12-lipoxygenase /// ENST00000570562 // intron // 0 // Hs.422967 // LOC100506713 // 100506713 // Uncharacterized LOC100506713 /// ENST00000571010 // UTR-3 // 0 // Hs.422967 // LOC100506713 // 100506713 // Uncharacterized LOC100506713 /// ENST00000572385 // intron // 0 // Hs.422967 // LOC100506713 // 100506713 // Uncharacterized LOC100506713 /// ENST00000572547 // intron // 0 // --- // --- // --- // --- /// ENST00000574377 // UTR-3 // 0 // Hs.422967 // LOC100506713 // 100506713 // Uncharacterized LOC100506713 /// ENST00000575727 // UTR-3 // 0 // Hs.422967 // LOC100506713 // 100506713 // Uncharacterized LOC100506713 /// ENST00000575889 // intron // 0 // Hs.422967 // LOC100506713 // 100506713 // Uncharacterized LOC100506713 /// NM_000697 // missense // 0 // Hs.654431 // ALOX12 // 239 // arachidonate 12-lipoxygenase /// NR_040089 // intron // 0 // Hs.422967 // LOC100506713 // 100506713 // uncharacterized LOC100506713																			
ALOX12	17	AX-11337432	Affx-14272653	rs17732112	6825842	6825842	+	170 // CEU /// 194 // CHB /// 178 // JPT /// 176 // YRI	---	ENST00000570562 // intron // 0 // Hs.422967 // LOC100506713 // 100506713 // Uncharacterized LOC100506713 /// ENST00000572385 // intron // 0 // Hs.422967 // LOC100506713 // 100506713 // Uncharacterized LOC100506713 /// ENST00000574183 // intron // 0 // Hs.378695 // ALOX12P2 // 245 // Arachidonate 12-lipoxygenase pseudogene 2 /// ENST00000575889 // intron // 0 // Hs.422967 // LOC100506713 // 100506713 // Uncharacterized LOC100506713 /// NR_002710 // downstream // 22174 // Hs.378695 // ALOX12P2 // 245 // arachidonate 12-lipoxygenase pseudogene 2 /// NR_040089 // downstream // 62600 // Hs.422967 // LOC100506713 // 100506713 // uncharacterized LOC100506713																			
ALOX12	17	AX-11337437	Affx-14277546	rs17732181	6860607	6860607	+	170 // CEU /// 194 // CHB /// 178 // JPT /// 176 // YRI	---	ENST00000570562 // intron // 0 // Hs.422967 // LOC100506713 // 100506713 // Uncharacterized LOC100506713 /// ENST00000572385 // intron // 0 // Hs.422967 // LOC100506713 // 100506713 // Uncharacterized LOC100506713 /// ENST00000573755 // intron // 0 // Hs.630670 // --- // --- // Transcribed locus /// ENST00000575889 // intron // 0 // Hs.422967 // LOC100506713 // 100506713 // Uncharacterized LOC100506713 /// NR_002710 // downstream // 56939 // Hs.378695 // ALOX12P2 // 245 // arachidonate 12-lipoxygenase pseudogene 2 /// NR_040089 // downstream // 27835 // Hs.422967 // LOC100506713 // 100506713 // uncharacterized LOC100506713																			
ALOX12	17	AX-11366710	Affx-14271763	rs2089454	6819121	6819121	+	170 // CEU /// 194 // CHB /// 178 // JPT /// 176 // YRI	---	ENST00000570562 // intron // 0 // Hs.422967 // LOC100506713 // 100506713 // Uncharacterized LOC100506713 /// ENST00000572385 // intron // 0 // Hs.422967 // LOC100506713 // 100506713 // Uncharacterized LOC100506713 /// ENST00000574183 // intron // 0 // Hs.378695 // ALOX12P2 // 245 // Arachidonate 12-lipoxygenase pseudogene 2 /// ENST00000575889 // intron // 0 // Hs.422967 // LOC100506713 // 100506713 // Uncharacterized LOC100506713 /// NR_002710 // downstream // 15453 // Hs.378695 // ALOX12P2 // 245 // arachidonate 12-lipoxygenase pseudogene 2 /// NR_040089 // downstream // 69321 // Hs.422967 // LOC100506713 // 100506713 // uncharacterized LOC100506713																			
ALOX12	17	AX-11369624	Affx-14275460	rs2135845	6847073	6847073	+	170 // CEU /// 194 // CHB /// 178 // JPT /// 176 // YRI	---	ENST00000570562 // intron // 0 // Hs.422967 // LOC100506713 // 100506713 // Uncharacterized LOC100506713 /// ENST00000572385 // intron // 0 // Hs.422967 // LOC100506713 // 100506713 // Uncharacterized LOC100506713 /// ENST00000574183 // intron // 0 // Hs.378695 // ALOX12P2 // 245 // Arachidonate 12-lipoxygenase pseudogene 2 /// ENST00000575889 // intron // 0 // Hs.422967 // LOC100506713 // 100506713 // Uncharacterized LOC100506713 /// NR_002710 // downstream // 43405 // Hs.378695 // ALOX12P2 // 245 // arachidonate 12-lipoxygenase pseudogene 2 /// NR_040089 // downstream // 41369 // Hs.422967 // LOC100506713 // 100506713 // uncharacterized LOC100506713																			
ALOX12	17	AX-11380169	Affx-14269260	rs2271315	6802289	6802289	+	170 // CEU /// 194 // CHB /// 178 // JPT /// 176 // YRI	---	ENST00000570562 // intron // 0 // Hs.422967 // LOC100506713 // 100506713 // Uncharacterized LOC100506713 /// ENST00000570890 // intron // 0 // Hs.378695 // ALOX12P2 // 245 // Arachidonate 12-lipoxygenase pseudogene 2 /// ENST00000570921 // intron // 0 // Hs.378695 // ALOX12P2 // 245 // Arachidonate 12-lipoxygenase pseudogene 2 /// ENST00000572385 // intron // 0 // Hs.422967 // LOC100506713 // 100506713 // Uncharacterized LOC100506713 /// ENST00000574727 // intron // 0 // Hs.378695 // ALOX12P2 // 245 // Arachidonate 12-lipoxygenase pseudogene 2 /// ENST00000575787 // intron // 0 // Hs.378695 // ALOX12P2 // 245 // Arachidonate 12-lipoxygenase pseudogene 2 /// ENST00000575889 // intron // 0 // Hs.422967 // LOC100506713 // 100506713 // Uncharacterized LOC100506713 /// NR_002710 // intron // 0 // Hs.378695 // ALOX12P2 // 245 // arachidonate 12-lipoxygenase pseudogene 2																			
ALOX12	17	AX-11434857	Affx-14286005	rs312462	6913652	6913652	+	170 // CEU /// 194 // CHB /// 178 // JPT /// 176 // YRI	---	ENST00000251535 // synon // 0 // Hs.654431 // ALOX12 // 239 // arachidonate 12-lipoxygenase /// ENST00000399540 // intron // 0 // Hs.422967 // LOC100506713 // 100506713 // Uncharacterized LOC100506713 /// ENST00000399541 // intron // 0 // Hs.422967 // LOC100506713 // 100506713 // Uncharacterized LOC100506713 /// ENST00000406228 // exon // 0 // Hs.654431 // ALOX12 // 239 // arachidonate 12-lipoxygenase /// ENST00000570562 // intron // 0 // Hs.422967 // LOC100506713 // 100506713 // Uncharacterized LOC100506713 /// ENST00000571010 // intron // 0 // Hs.422967 // LOC100506713 // 100506713 // Uncharacterized LOC100506713 /// ENST00000572385 // intron // 0 // Hs.422967 // LOC100506713 // 100506713 // Uncharacterized LOC100506713 /// ENST00000572547 // intron // 0 // --- // --- // --- // --- /// ENST00000573939 // intron // 0 // Hs.422967 // LOC100506713 // 100506713 // Uncharacterized LOC100506713 /// ENST00000574377 // intron // 0 // Hs.422967 // LOC100506713 // 100506713 // Uncharacterized LOC100506713 /// ENST00000575727 // intron // 0 // Hs.422967 // LOC100506713 // 100506713 // Uncharacterized LOC100506713 /// ENST00000575889 // intron // 0 // Hs.422967 // LOC100506713 // 100506713 // Uncharacterized LOC100506713 /// NM_000697 // synon // 0 // Hs.654431 // ALOX12 // 239 // arachidonate 12-lipoxygenase /// NR_040089 // intron // 0 // Hs.422967 // LOC100506713 // 100506713 // uncharacterized LOC100506713																			
ALOX12	17	AX-11462270	Affx-14280627	rs35339537	6880719	6880719	+	170 // CEU /// 194 // CHB /// 178 // JPT /// 176 // YRI	---	ENST00000570562 // intron // 0 // Hs.422967 // LOC100506713 // 100506713 // Uncharacterized LOC100506713 /// ENST00000572385 // intron // 0 // Hs.422967 // LOC100506713 // 100506713 // Uncharacterized LOC100506713 /// ENST00000573755 // intron // 0 // Hs.630670 // --- // --- // Transcribed locus /// ENST00000575889 // intron // 0 // Hs.422967 // LOC100506713 // 100506713 // Uncharacterized LOC100506713 /// NR_002710 // downstream // 77051 // Hs.378695 // ALOX12P2 // 245 // arachidonate 12-lipoxygenase pseudogene 2 /// NR_040089 // downstream // 7723 // Hs.422967 // LOC100506713 // 100506713 // uncharacterized LOC100506713																			
ALOX12	17	AX-11545904	Affx-14268695	rs573836	6798378	6798378	+	170 // CEU /// 194 // CHB /// 178 // JPT /// 176 // YRI	---	ENST00000570562 // intron // 0 // Hs.422967 // LOC100506713 // 100506713 // Uncharacterized LOC100506713 /// ENST00000570890 // intron // 0 // Hs.378695 // ALOX12P2 // 245 // Arachidonate 12-lipoxygenase pseudogene 2 /// ENST00000570921 // intron // 0 // Hs.378695 // ALOX12P2 // 245 // Arachidonate 12-lipoxygenase pseudogene 2 /// ENST00000571201 // intron // 0 // Hs.378695 // ALOX12P2 // 245 // Arachidonate 12-lipoxygenase pseudogene 2 /// ENST00000572385 // intron // 0 // Hs.422967 // LOC100506713 // 100506713 // Uncharacterized LOC100506713 /// ENST00000574271 // intron // 0 // Hs.378695 // ALOX12P2 // 245 // Arachidonate 12-lipoxygenase pseudogene 2 /// ENST00000574727 // intron // 0 // Hs.378695 // ALOX12P2 // 245 // Arachidonate 12-lipoxygenase pseudogene 2 /// ENST00000575889 // intron // 0 // Hs.422967 // LOC100506713 // 100506713 // Uncharacterized LOC100506713 /// ENST00000576636 // intron // 0 // Hs.378695 // ALOX12P2 // 245 // Arachidonate 12-lipoxygenase pseudogene 2 /// NR_002710 // intron // 0 // Hs.378695 // ALOX12P2 // 245 // arachidonate 12-lipoxygenase pseudogene 2																			
ALOX12	17	AX-11664093	Affx-14268381	rs8076947	6795648	6795648	+	170 // CEU /// 194 // CHB /// 178 // JPT /// 176 // YRI	---	ENST00000570562 // intron // 0 // Hs.422967 // LOC100506713 // 100506713 // Uncharacterized LOC100506713 /// ENST00000570835 // intron // 0 // Hs.378695 // ALOX12P2 // 245 // Arachidonate 12-lipoxygenase pseudogene 2 /// ENST00000572385 // intron // 0 // Hs.422967 // LOC100506713 // 100506713 // Uncharacterized LOC100506713 /// ENST00000574271 // intron // 0 // Hs.378695 // ALOX12P2 // 245 // Arachidonate 12-lipoxygenase pseudogene 2 /// ENST00000574727 // intron // 0 // Hs.378695 // ALOX12P2 // 245 // Arachidonate 12-lipoxygenase pseudogene 2 /// ENST00000575889 // intron // 0 // Hs.422967 // LOC100506713 // 100506713 // Uncharacterized LOC100506713 /// ENST00000576636 // intron // 0 // Hs.378695 // ALOX12P2 // 245 // Arachidonate 12-lipoxygenase pseudogene 2 /// NR_002710 // intron // 0 // Hs.378695 // ALOX12P2 // 245 // arachidonate 12-lipoxygenase pseudogene 2																			
ALOX15B	17	AX-11708999	Affx-14430383	rs9897145	7957140	7957140	+	170 // CEU /// 194 // CHB /// 178 // JPT /// 176 // YRI	"603741 // Ichthyosis, congenital, autosomal recessive 2 // 242100 // downstream"	"ENST00000571240 // downstream // 4688 // Hs.111256 // ALOX15B // 247 // arachidonate 15-lipoxygenase, type B /// ENST00000577807 // downstream // 2403 // --- // --- // --- // --- /// NM_001039130 // downstream // 4689 // Hs.111256 // ALOX15B // 247 // arachidonate 15-lipoxygenase, type B /// NM_001139 // downstream // 18814 // Hs.136574 // ALOX12B // 242 // arachidonate 12-lipoxygenase, 12R type"																			
ALOX12	17	AX-12413676	Affx-14285206	rs11571340	6908219	6908219	+	170 // CEU /// 194 // CHB /// 178 // JPT /// 176 // YRI	---	ENST00000251535 // intron // 0 // Hs.654431 // ALOX12 // 239 // arachidonate 12-lipoxygenase /// ENST00000399540 // intron // 0 // Hs.422967 // LOC100506713 // 100506713 // Uncharacterized LOC100506713 /// ENST00000399541 // intron // 0 // Hs.422967 // LOC100506713 // 100506713 // Uncharacterized LOC100506713 /// ENST00000570562 // intron // 0 // Hs.422967 // LOC100506713 // 100506713 // Uncharacterized LOC100506713 /// ENST00000571010 // intron // 0 // Hs.422967 // LOC100506713 // 100506713 // Uncharacterized LOC100506713 /// ENST00000572385 // intron // 0 // Hs.422967 // LOC100506713 // 100506713 // Uncharacterized LOC100506713 /// ENST00000572547 // intron // 0 // --- // --- // --- // --- /// ENST00000573939 // intron // 0 // Hs.422967 // LOC100506713 // 100506713 // Uncharacterized LOC100506713 /// ENST00000574377 // intron // 0 // Hs.422967 // LOC100506713 // 100506713 // Uncharacterized LOC100506713 /// ENST00000575727 // intron // 0 // Hs.422967 // LOC100506713 // 100506713 // Uncharacterized LOC100506713 /// ENST00000575889 // intron // 0 // Hs.422967 // LOC100506713 // 100506713 // Uncharacterized LOC100506713 /// NM_000697 // intron // 0 // Hs.654431 // ALOX12 // 239 // arachidonate 12-lipoxygenase /// NR_040089 // intron // 0 // Hs.422967 // LOC100506713 // 100506713 // uncharacterized LOC100506713																			
ALOX12	17	AX-12523448	Affx-14268632	rs2271314	6797773	6797773	+	170 // CEU /// 194 // CHB /// 178 // JPT /// 176 // YRI	---	ENST00000570562 // intron // 0 // Hs.422967 // LOC100506713 // 100506713 // Uncharacterized LOC100506713 /// ENST00000570835 // exon // 0 // Hs.378695 // ALOX12P2 // 245 // Arachidonate 12-lipoxygenase pseudogene 2 /// ENST00000570890 // exon // 0 // Hs.378695 // ALOX12P2 // 245 // Arachidonate 12-lipoxygenase pseudogene 2 /// ENST00000570921 // exon // 0 // Hs.378695 // ALOX12P2 // 245 // Arachidonate 12-lipoxygenase pseudogene 2 /// ENST00000571201 // exon // 0 // Hs.378695 // ALOX12P2 // 245 // Arachidonate 12-lipoxygenase pseudogene 2 /// ENST00000572385 // intron // 0 // Hs.422967 // LOC100506713 // 100506713 // Uncharacterized LOC100506713 /// ENST00000574271 // exon // 0 // Hs.378695 // ALOX12P2 // 245 // Arachidonate 12-lipoxygenase pseudogene 2 /// ENST00000574727 // exon // 0 // Hs.378695 // ALOX12P2 // 245 // Arachidonate 12-lipoxygenase pseudogene 2 /// ENST00000575889 // intron // 0 // Hs.422967 // LOC100506713 // 100506713 // Uncharacterized LOC100506713 /// ENST00000576636 // intron // 0 // Hs.378695 // ALOX12P2 // 245 // Arachidonate 12-lipoxygenase pseudogene 2 /// NR_002710 // exon // 0 // Hs.378695 // ALOX12P2 // 245 // arachidonate 12-lipoxygenase pseudogene 2																			
ALOX12	17	AX-12549122	Affx-14269358	rs311757	6802816	6802816	+	170 // CEU /// 194 // CHB /// 178 // JPT /// 176 // YRI	---	ENST00000570562 // intron // 0 // Hs.422967 // LOC100506713 // 100506713 // Uncharacterized LOC100506713 /// ENST00000570890 // intron // 0 // Hs.378695 // ALOX12P2 // 245 // Arachidonate 12-lipoxygenase pseudogene 2 /// ENST00000570921 // intron // 0 // Hs.378695 // ALOX12P2 // 245 // Arachidonate 12-lipoxygenase pseudogene 2 /// ENST00000572385 // intron // 0 // Hs.422967 // LOC100506713 // 100506713 // Uncharacterized LOC100506713 /// ENST00000574727 // intron // 0 // Hs.378695 // ALOX12P2 // 245 // Arachidonate 12-lipoxygenase pseudogene 2 /// ENST00000575787 // intron // 0 // Hs.378695 // ALOX12P2 // 245 // Arachidonate 12-lipoxygenase pseudogene 2 /// ENST00000575889 // intron // 0 // Hs.422967 // LOC100506713 // 100506713 // Uncharacterized LOC100506713 /// NR_002710 // intron // 0 // Hs.378695 // ALOX12P2 // 245 // arachidonate 12-lipoxygenase pseudogene 2																			
ALOX12	17	AX-12665665	Affx-14275982	rs9630722	6850461	6850461	+	170 // CEU /// 194 // CHB /// 178 // JPT /// 176 // YRI	---	ENST00000570562 // intron // 0 // Hs.422967 // LOC100506713 // 100506713 // Uncharacterized LOC100506713 /// ENST00000572385 // intron // 0 // Hs.422967 // LOC100506713 // 100506713 // Uncharacterized LOC100506713 /// ENST00000574183 // intron // 0 // Hs.378695 // ALOX12P2 // 245 // Arachidonate 12-lipoxygenase pseudogene 2 /// ENST00000575889 // intron // 0 // Hs.422967 // LOC100506713 // 100506713 // Uncharacterized LOC100506713 /// NR_002710 // downstream // 46793 // Hs.378695 // ALOX12P2 // 245 // arachidonate 12-lipoxygenase pseudogene 2 /// NR_040089 // downstream // 37981 // Hs.422967 // LOC100506713 // 100506713 // uncharacterized LOC100506713																			
ALOX12	17	AX-13232049	Affx-14269898	rs56306443	6806438	6806438	+	170 // CEU /// 194 // CHB /// 178 // JPT /// 176 // YRI	---	ENST00000570562 // intron // 0 // Hs.422967 // LOC100506713 // 100506713 // Uncharacterized LOC100506713 /// ENST00000572385 // intron // 0 // Hs.422967 // LOC100506713 // 100506713 // Uncharacterized LOC100506713 /// ENST00000574183 // intron // 0 // Hs.378695 // ALOX12P2 // 245 // Arachidonate 12-lipoxygenase pseudogene 2 /// ENST00000575889 // intron // 0 // Hs.422967 // LOC100506713 // 100506713 // Uncharacterized LOC100506713 /// NR_002710 // downstream // 2770 // Hs.378695 // ALOX12P2 // 245 // arachidonate 12-lipoxygenase pseudogene 2 /// NR_040089 // downstream // 82004 // Hs.422967 // LOC100506713 // 100506713 // uncharacterized LOC100506713																			
ALOX12	17	AX-13232355	Affx-14271611	rs78110020	6818349	6818349	+	170 // CEU /// 194 // CHB /// 178 // JPT /// 176 // YRI	---	ENST00000570562 // intron // 0 // Hs.422967 // LOC100506713 // 100506713 // Uncharacterized LOC100506713 /// ENST00000572385 // intron // 0 // Hs.422967 // LOC100506713 // 100506713 // Uncharacterized LOC100506713 /// ENST00000574183 // intron // 0 // Hs.378695 // ALOX12P2 // 245 // Arachidonate 12-lipoxygenase pseudogene 2 /// ENST00000575889 // intron // 0 // Hs.422967 // LOC100506713 // 100506713 // Uncharacterized LOC100506713 /// NR_002710 // downstream // 14681 // Hs.378695 // ALOX12P2 // 245 // arachidonate 12-lipoxygenase pseudogene 2 /// NR_040089 // downstream // 70093 // Hs.422967 // LOC100506713 // 100506713 // uncharacterized LOC100506713																			
